workerId,category,pair,count,eventCat,event
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,30,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,9,1.0,utterance,thanking
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,29,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,15,5.0,kindness,advising
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,26,20.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,11,1.0,utterance,talking
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,34,5.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,20,100.0,kindness,condoling
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,39,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,35,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,37,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,8,3.0,utterance,scolding
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,35,2.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,27,10.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,24,100.0,kindness,respecting
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,18,2.0,kindness,assuring
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,38,10.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,22,2.0,kindness,recognizing
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,26,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,31,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,12,1.0,utterance,speaking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,1,1.0,contact,kissing
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,38,10.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,33,10.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,23,5.0,kindness,supporting
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,21,4.0,kindness,helping
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,14,1.0,utterance,addressing
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,30,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,3,1.0,contact,hugging
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,2,7.0,contact,kicking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,17,10.0,kindness,assisting
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,28,2.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,33,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,16,1.0,kindness,approving
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,25,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,7,2.0,contact,shaking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,19,4.0,kindness,encouraging
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,34,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,6,1.0,contact,poking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,36,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,27,10.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,25,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,39,10.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,32,6.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,29,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,31,2.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,28,2.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,10,1.0,utterance,lecturing
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,13,1.0,utterance,presenting
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,5,1.0,contact,cuddling
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,36,5.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,32,6.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,4,1.0,contact,embracing
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,30,4.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,9,1.0,utterance,thanking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,29,2.0,filler,filler
