workerId,list,pair,similarity,event,eventCat,events
HUDSN,2,58,4,supporting,kindness,supporting -- giving support
HUDSN,3,filler,1,filler,filler,napping -- taking a nap
HUDSN,3,filler,5,filler,filler,chasing -- searching
HUDSN,3,filler,6,filler,filler,going -- traveling
HUDSN,3,filler,5,filler,filler,studying -- working
HUDSN,3,filler,7,filler,filler,learning -- teaching
HUDSN,3,filler,1,filler,filler,dozing -- snoozing
HUDSN,3,filler,1,filler,filler,detesting -- disliking
HUDSN,3,filler,5,filler,filler,watching a movie -- going out
HUDSN,3,filler,3,filler,filler,writing -- typing
HUDSN,3,filler,1,filler,filler,being sick -- being ill
HUDSN,3,filler,1,filler,filler,brooding -- sulking
HUDSN,3,filler,4,filler,filler,blinking -- winking
HUDSN,3,filler,3,filler,filler,delivering -- sending
HUDSN,3,filler,7,filler,filler,working -- being lazy
HUDSN,3,filler,3,filler,filler,emailing -- sending
HUDSN,3,filler,5,filler,filler,tripping -- falling
HUDSN,3,filler,4,filler,filler,driving -- riding a bike
HUDSN,3,filler,1,filler,filler,showering -- taking a shower
HUDSN,3,filler,1,filler,filler,jumping -- hopping
HUDSN,3,filler,7,filler,filler,seeing -- experiencing
HUDSN,3,filler,4,filler,filler,growing -- ageing
HUDSN,3,filler,1,filler,filler,repairing -- fixing
HUDSN,2,8,3,speaking,utterance,speaking -- giving a speech
HUDSN,2,9,3,talking,utterance,talking -- giving a talk
HUDSN,2,10,2,presenting,utterance,presenting -- giving a presentation
IOSNA,2,1,3,thanking,utterance,thanking -- giving thanks
IOSNA,2,1,4,kissing,contact,kissing -- giving a kiss
IOSNA,2,2,5,kicking,contact,kicking -- giving a kick
IOSNA,2,3,2,scolding,utterance,scolding -- giving a scolding
IOSNA,2,3,3,hugging,contact,hugging -- giving a hug
IOSNA,2,4,1,lecturing,utterance,lecturing -- giving a lecture
IOSNA,2,4,4,embracing,contact,embracing -- giving an embrace
IOSNA,2,5,4,cuddling,contact,cuddling -- giving a cuddle
IOSNA,2,6,3,poking,contact,poking -- giving a poke
IOSNA,2,7,3,shaking,contact,shaking -- giving a shake
IOSNA,2,42,2,advising,kindness,advising -- giving advice
IOSNA,2,44,2,approving,kindness,approving -- giving approval
IOSNA,2,46,2,assisting,kindness,assisting -- giving assistance
IOSNA,2,48,2,assuring,kindness,assuring -- giving assurance
IOSNA,2,50,4,encouraging,kindness,encouraging -- giving encouragement
IOSNA,2,52,3,condoling,kindness,condoling -- giving condolences
IOSNA,2,53,5,addressing,utterance,addressing -- giving an address
IOSNA,2,54,2,helping,kindness,helping -- giving help
IOSNA,2,56,4,recognizing,kindness,recognizing -- giving recognition
IOSNA,2,58,2,supporting,kindness,supporting -- giving support
IOSNA,3,filler,2,filler,filler,napping -- taking a nap
IOSNA,3,filler,4,filler,filler,chasing -- searching
IOSNA,3,filler,4,filler,filler,going -- traveling
IOSNA,3,filler,5,filler,filler,studying -- working
IOSNA,3,filler,5,filler,filler,learning -- teaching
IOSNA,3,filler,3,filler,filler,dozing -- snoozing
IOSNA,3,filler,3,filler,filler,detesting -- disliking
IOSNA,3,filler,6,filler,filler,watching a movie -- going out
IOSNA,3,filler,3,filler,filler,writing -- typing
IOSNA,3,filler,1,filler,filler,being sick -- being ill
IOSNA,3,filler,3,filler,filler,brooding -- sulking
IOSNA,3,filler,3,filler,filler,blinking -- winking
IOSNA,3,filler,2,filler,filler,delivering -- sending
IOSNA,3,filler,7,filler,filler,working -- being lazy
IOSNA,3,filler,5,filler,filler,emailing -- sending
IOSNA,3,filler,4,filler,filler,tripping -- falling
IOSNA,3,filler,5,filler,filler,driving -- riding a bike
IOSNA,3,filler,1,filler,filler,showering -- taking a shower
IOSNA,3,filler,1,filler,filler,jumping -- hopping
IOSNA,3,filler,3,filler,filler,seeing -- experiencing
IOSNA,3,filler,4,filler,filler,growing -- ageing
IOSNA,3,filler,1,filler,filler,repairing -- fixing
IOSNA,2,8,3,speaking,utterance,speaking -- giving a speech
IOSNA,2,9,3,talking,utterance,talking -- giving a talk
IOSNA,2,10,3,presenting,utterance,presenting -- giving a presentation
NCDOS,2,1,1,thanking,utterance,thanking -- giving thanks
NCDOS,2,1,1,kissing,contact,kissing -- giving a kiss
NCDOS,2,2,1,kicking,contact,kicking -- giving a kick
NCDOS,2,3,1,scolding,utterance,scolding -- giving a scolding
NCDOS,2,3,1,hugging,contact,hugging -- giving a hug
NCDOS,2,4,1,lecturing,utterance,lecturing -- giving a lecture
NCDOS,2,4,1,embracing,contact,embracing -- giving an embrace
NCDOS,2,5,1,cuddling,contact,cuddling -- giving a cuddle
NCDOS,2,6,1,poking,contact,poking -- giving a poke
NCDOS,2,7,1,shaking,contact,shaking -- giving a shake
NCDOS,2,42,1,advising,kindness,advising -- giving advice
NCDOS,2,44,1,approving,kindness,approving -- giving approval
NCDOS,2,46,1,assisting,kindness,assisting -- giving assistance
NCDOS,2,48,1,assuring,kindness,assuring -- giving assurance
NCDOS,2,50,1,encouraging,kindness,encouraging -- giving encouragement
NCDOS,2,52,1,condoling,kindness,condoling -- giving condolences
NCDOS,2,53,1,addressing,utterance,addressing -- giving an address
NCDOS,2,54,1,helping,kindness,helping -- giving help
NCDOS,2,56,1,recognizing,kindness,recognizing -- giving recognition
NCDOS,2,58,1,supporting,kindness,supporting -- giving support
NCDOS,3,filler,1,filler,filler,napping -- taking a nap
NCDOS,3,filler,7,filler,filler,chasing -- searching
NCDOS,3,filler,3,filler,filler,going -- traveling
NCDOS,3,filler,5,filler,filler,studying -- working
NCDOS,3,filler,7,filler,filler,learning -- teaching
NCDOS,3,filler,2,filler,filler,dozing -- snoozing
NCDOS,3,filler,2,filler,filler,detesting -- disliking
NCDOS,3,filler,6,filler,filler,watching a movie -- going out
NCDOS,3,filler,6,filler,filler,writing -- typing
NCDOS,3,filler,1,filler,filler,being sick -- being ill
NCDOS,3,filler,1,filler,filler,brooding -- sulking
NCDOS,3,filler,7,filler,filler,blinking -- winking
NCDOS,3,filler,7,filler,filler,delivering -- sending
NCDOS,3,filler,7,filler,filler,working -- being lazy
NCDOS,3,filler,5,filler,filler,emailing -- sending
NCDOS,3,filler,4,filler,filler,tripping -- falling
NCDOS,3,filler,7,filler,filler,driving -- riding a bike
